frame,status,foot_space_x,foot_space_y,foot_cx,foot_cy,foot_area,hand_space_x,hand_space_y,hand_space_z,hand_cx,hand_cy,hand_area,hand_to_foot_dx,hand_to_foot_dy,hand_to_foot_dz,hand_to_foot_distance_2d,hand_to_foot_distance_3d,red_candidates
135,ok,61.44,39.30,1009.24,861.23,1727,41.66,-352.31,3.7995,1146.03,174.77,1466,-19.78,-391.61,3.7995,392.11,392.13,2
136,ok,62.20,39.24,1020.02,857.19,1759,41.05,-352.52,3.7974,1152.83,175.57,1445,-21.15,-391.76,3.7974,392.33,392.35,2
137,ok,63.00,39.15,1033.77,852.93,1728,40.43,-352.72,3.7955,1159.46,177.01,1433,-22.57,-391.87,3.7955,392.52,392.54,2
138,ok,63.82,39.02,1050.28,846.37,1814,39.80,-352.90,3.7936,1166.10,178.23,1416,-24.02,-391.92,3.7936,392.66,392.67,2
139,ok,64.65,38.85,1066.51,844.27,1792,39.17,-353.07,3.7919,1172.59,179.06,1398,-25.48,-391.92,3.7919,392.75,392.77,2
140,ok,65.51,38.64,1082.09,844.40,1871,38.52,-353.21,3.7903,1178.86,179.65,1388,-26.99,-391.85,3.7903,392.78,392.80,2
141,ok,66.38,38.39,1101.09,848.70,1884,37.88,-353.33,3.7889,1184.55,179.72,1381,-28.50,-391.72,3.7889,392.76,392.77,2
142,ok,67.26,38.10,1125.48,857.12,1934,37.23,-353.43,3.7876,1190.57,179.26,1386,-30.03,-391.53,3.7876,392.68,392.70,2
143,ok,68.14,37.77,1149.15,866.41,2144,36.57,-353.51,3.7864,1194.94,179.11,1377,-31.57,-391.28,3.7864,392.55,392.57,2
144,ok,69.03,37.43,1175.95,877.53,2329,35.91,-353.57,3.7854,1200.03,179.27,1357,-33.12,-391.00,3.7854,392.40,392.42,2
145,ok,69.91,37.08,1205.50,884.95,2415,35.25,-353.61,3.7845,1204.15,179.25,1345,-34.66,-390.69,3.7845,392.22,392.24,2
146,ok,70.79,36.72,1236.34,890.85,2308,34.59,-353.64,3.7838,1208.39,180.30,1325,-36.20,-390.36,3.7838,392.03,392.05,2
147,ok,71.66,36.36,1266.03,892.56,2242,33.92,-353.64,3.7831,1213.30,179.86,1325,-37.74,-390.00,3.7831,391.82,391.84,2
148,ok,72.51,36.00,1292.81,892.26,2201,33.25,-353.62,3.7826,1218.48,179.86,1327,-39.26,-389.62,3.7826,391.59,391.61,2
149,ok,73.34,35.65,1314.34,889.90,2271,32.57,-353.59,3.7822,1223.60,179.56,1310,-40.77,-389.24,3.7822,391.37,391.39,2
150,ok,74.14,35.29,1331.89,887.13,2311,31.89,-353.54,3.7820,1229.50,179.83,1300,-42.25,-388.83,3.7820,391.12,391.14,2
151,ok,74.91,34.94,1346.21,885.67,2279,31.21,-353.47,3.7818,1235.06,180.03,1296,-43.70,-388.41,3.7818,390.86,390.88,2
152,ok,75.66,34.58,1356.26,885.01,2294,30.52,-353.39,3.7817,1241.07,179.86,1302,-45.14,-387.97,3.7817,390.59,390.61,2
153,ok,76.37,34.21,1361.66,884.94,2297,29.83,-353.31,3.7817,1246.50,179.96,1285,-46.54,-387.52,3.7817,390.30,390.32,2
154,ok,77.04,33.85,1365.50,885.69,2279,29.14,-353.21,3.7817,1252.32,179.06,1307,-47.90,-387.06,3.7817,390.01,390.03,2
155,ok,77.68,33.48,1365.67,888.96,2276,28.44,-353.10,3.7818,1258.19,178.86,1301,-49.24,-386.58,3.7818,389.70,389.72,2
156,ok,78.29,33.11,1363.50,893.41,2339,27.74,-352.99,3.7820,1264.59,178.71,1292,-50.55,-386.10,3.7820,389.40,389.41,2
157,ok,78.86,32.76,1361.16,898.16,2341,27.04,-352.87,3.7821,1271.41,180.00,1236,-51.82,-385.63,3.7821,389.10,389.11,2
158,ok,79.41,32.41,1360.12,902.52,2407,26.34,-352.74,3.7824,1278.11,179.61,1202,-53.07,-385.15,3.7824,388.79,388.81,2
159,ok,79.92,32.09,1361.47,903.07,2613,25.63,-352.60,3.7827,1285.29,179.33,1174,-54.29,-384.69,3.7827,388.50,388.52,2
160,ok,80.40,31.79,1363.04,902.80,2486,24.93,-352.46,3.7830,1293.29,179.56,1076,-55.47,-384.25,3.7830,388.23,388.25,2
161,ok,80.86,31.51,1362.47,903.26,2495,24.23,-352.31,3.7834,1302.47,178.44,1055,-56.63,-383.82,3.7834,387.98,387.99,2
162,ok,81.28,31.27,1363.60,903.10,2544,23.52,-352.16,3.7838,1312.81,175.55,1093,-57.76,-383.43,3.7838,387.76,387.77,2
163,ok,81.67,31.06,1363.90,903.38,2547,22.83,-352.02,3.7842,1322.77,173.84,1086,-58.84,-383.08,3.7842,387.57,387.59,2
164,ok,82.03,30.90,1363.27,905.16,2635,22.13,-351.88,3.7845,1333.70,171.83,1172,-59.90,-382.78,3.7845,387.44,387.46,2
165,ok,82.37,30.77,1363.42,904.01,2522,21.45,-351.74,3.7848,1341.64,169.57,1185,-60.92,-382.51,3.7848,387.33,387.35,2
166,ok,82.68,30.70,1355.87,903.61,2492,20.77,-351.63,3.7850,1342.81,172.87,1184,-61.91,-382.33,3.7850,387.31,387.33,2
167,ok,82.97,30.68,1366.07,903.47,2476,20.09,-351.52,3.7851,1359.60,165.88,1223,-62.88,-382.20,3.7851,387.34,387.36,2
168,ok,83.23,30.72,1358.61,902.58,2424,19.43,-351.43,3.7852,1359.43,169.03,1245,-63.80,-382.15,3.7852,387.44,387.46,2
169,ok,83.48,30.82,1367.28,902.82,2431,18.78,-351.35,3.7851,1374.72,163.40,1263,-64.70,-382.17,3.7851,387.61,387.63,2
170,ok,83.72,30.98,1367.05,902.75,2476,18.13,-351.31,3.7848,1382.23,162.65,1285,-65.59,-382.29,3.7848,387.88,387.89,2
171,ok,83.93,31.22,1367.59,901.87,2445,17.50,-351.29,3.7844,1389.15,161.59,1312,-66.43,-382.51,3.7844,388.24,388.25,2
172,ok,84.14,31.51,1367.39,902.66,2444,16.88,-351.31,3.7837,1395.61,161.92,1315,-67.26,-382.82,3.7837,388.68,388.70,2
173,ok,84.34,31.88,1367.99,901.89,2440,16.28,-351.36,3.7828,1401.50,160.94,1331,-68.06,-383.24,3.7828,389.24,389.25,2
174,ok,84.53,32.30,1367.60,902.49,2486,15.69,-351.44,3.7818,1407.26,161.10,1327,-68.84,-383.74,3.7818,389.87,389.88,2
175,ok,84.71,32.78,1366.98,903.24,2481,15.11,-351.56,3.7804,1411.64,160.92,1338,-69.60,-384.34,3.7804,390.59,390.61,2
176,ok,84.90,33.30,1367.54,902.94,2462,14.56,-351.72,3.7789,1417.16,161.90,1364,-70.34,-385.02,3.7789,391.39,391.41,2
177,ok,85.08,33.87,1368.73,901.66,2432,14.02,-351.92,3.7771,1423.04,163.06,1365,-71.06,-385.79,3.7771,392.28,392.30,2
178,ok,85.26,34.48,1368.78,901.58,2452,13.50,-352.15,3.7751,1428.73,164.69,1373,-71.76,-386.63,3.7751,393.23,393.25,2
