frame,color,cx,cy,space_x,space_y,space_z,x,y,w,h,area
50,blue,1668.02,981.25,100.44,2.91,-20.08,1660,969,16,24,342
51,red,1004.05,237.34,58.38,-406.56,351.32,972,207,64,62,1461
51,red,225.41,771.64,-39.90,96.59,100.62,218,751,17,41,587
51,red,999.19,793.87,53.03,83.36,79.88,978,778,41,37,1026
51,blue,563.10,769.27,0.08,100.12,97.46,554,758,20,22,369
51,blue,1395.47,773.91,100.05,100.26,84.55,1385,762,23,23,421
51,blue,231.14,966.90,-0.79,3.09,5.29,224,955,16,23,327
51,blue,1668.06,981.20,100.44,2.92,-20.06,1660,969,16,24,340
52,red,1003.55,235.98,58.43,-405.07,352.00,971,205,65,63,1501
52,red,225.42,771.64,-39.89,96.59,100.62,218,751,17,41,588
52,red,999.15,793.93,53.03,83.32,79.85,978,778,41,37,1013
52,blue,563.07,769.32,0.09,100.08,97.44,554,758,20,22,368
52,blue,1395.58,774.05,100.04,100.15,84.48,1385,762,23,23,422
52,blue,231.14,966.90,-0.79,3.09,5.29,224,955,16,23,327
52,blue,1668.06,981.33,100.43,2.89,-20.12,1660,969,16,24,337
53,red,1003.36,235.27,58.45,-404.30,352.34,971,205,65,63,1522
53,red,225.38,771.72,-39.87,96.52,100.58,218,751,17,41,582
53,red,999.35,793.79,53.05,83.42,79.92,978,777,41,38,1021
53,blue,562.94,769.33,0.07,100.08,97.44,554,758,20,22,363
53,blue,1395.58,773.97,100.05,100.22,84.52,1385,762,23,23,422
53,blue,231.01,966.81,-0.81,3.12,5.34,224,955,15,23,319
53,blue,1668.15,981.21,100.45,2.92,-20.07,1660,969,16,24,336
54,red,1003.70,234.71,58.40,-403.71,352.61,971,204,65,63,1548
54,red,225.41,771.61,-39.91,96.62,100.64,218,751,17,41,586
54,red,999.57,794.07,53.07,83.22,79.78,978,778,41,38,1018
