frame,color,cx,cy,x,y,w,h,area
24,red,713.67,462.83,701,376,31,151,1920
24,red,894.95,662.87,855,598,72,135,5855
24,red,802.90,685.75,780,613,45,154,5626
24,red,811.67,793.90,804,789,21,13,129
24,blue,553.59,684.74,543,672,22,25,466
24,blue,1392.53,689.01,1381,677,24,24,444
24,blue,228.57,887.61,224,877,9,19,127
25,red,805.52,213.93,772,176,64,78,2802
25,red,849.20,301.42,841,296,16,10,91
25,red,846.25,321.03,839,314,17,14,138
25,red,923.75,432.57,900,348,40,154,3683
25,red,888.41,384.03,880,361,17,49,280
25,red,710.06,462.39,698,379,30,148,1809
25,red,891.32,659.74,850,595,73,136,5951
25,red,803.01,685.77,780,613,46,154,5627
25,red,813.43,792.86,804,788,22,11,123
25,blue,553.63,684.63,543,672,22,25,475
25,blue,1392.42,689.04,1381,677,23,24,443
25,blue,228.57,887.61,224,877,9,19,127
26,red,802.84,214.04,769,179,64,75,2768
26,red,844.63,299.96,832,295,25,11,138
26,red,845.46,320.29,838,314,17,13,141
26,red,923.25,430.17,904,347,36,155,3667
26,red,887.78,380.15,879,358,17,49,263
26,red,706.56,461.17,694,382,32,144,1842
26,red,888.99,658.29,847,592,74,137,5899
26,red,803.07,685.49,780,613,46,153,5622
26,red,812.80,792.51,804,788,19,11,128
26,blue,553.56,684.82,543,672,22,25,469
26,blue,1392.36,688.96,1381,677,23,24,442
26,blue,228.53,887.87,224,878,9,18,124
26,blue,1668.61,898.29,1667,893,4,11,41
27,red,801.02,214.73,768,181,62,73,2689
27,red,756.45,200.87,752,196,9,10,47
27,red,841.27,300.10,831,294,25,14,185
27,red,843.87,320.44,837,315,15,12,126
27,red,922.96,428.54,905,346,36,156,3575
27,red,881.73,363.64,879,356,7,16,99
27,red,890.88,385.44,888,373,7,25,117
27,red,702.94,461.20,690,377,33,148,1842
27,red,887.43,658.47,852,590,66,140,5832
27,red,802.87,685.17,780,613,46,153,5638
27,blue,553.51,684.84,543,672,22,25,473
27,blue,1392.09,688.75,1381,677,23,23,433
27,blue,228.57,887.61,224,877,9,19,127
27,blue,1668.61,898.29,1667,893,4,11,41
28,red,798.56,214.51,751,182,77,72,2702
28,red,839.92,300.12,830,294,25,14,171
28,red,844.71,319.53,837,313,17,14,141
28,red,923.11,427.65,904,346,38,156,3534
28,red,881.19,361.15,877,354,9,15,89
28,red,890.49,383.65,888,375,7,18,74
28,red,700.37,456.81,687,377,34,135,1671
28,red,885.85,658.83,851,588,64,145,5869
28,red,803.00,685.73,779,614,47,152,5608
28,red,1461.50,701.00,1453,700,18,3,54
28,blue,868.90,587.09,864,583,11,10,79
28,blue,553.52,684.89,543,672,22,25,471
28,blue,1392.28,688.80,1381,677,23,23,430
28,blue,228.57,887.61,224,877,9,19,127
28,blue,1668.61,898.29,1667,893,4,11,41
29,red,799.54,215.20,768,184,60,70,2589
29,red,842.29,299.04,830,294,25,11,141
29,red,844.76,319.93,837,313,17,14,136
29,red,922.95,427.60,902,346,41,155,3578
29,red,880.12,357.63,878,353,5,11,43
29,red,889.12,379.29,887,372,5,15,51
29,red,698.12,456.78,684,378,38,137,1839
29,red,883.78,660.71,849,586,64,151,6143
29,red,802.99,686.66,779,615,47,151,5577
29,red,809.74,793.91,804,790,12,8,54
29,blue,866.93,586.28,862,583,11,8,68
29,blue,553.23,685.03,541,672,25,25,494
29,blue,1392.12,688.70,1381,677,22,23,429
29,blue,228.53,887.87,224,878,9,18,124
29,blue,1668.61,898.29,1667,893,4,11,41
30,red,799.51,216.22,769,184,57,71,2554
30,red,756.39,201.86,752,197,9,10,49
30,red,840.13,300.86,830,294,26,16,200
30,red,846.05,320.17,838,313,17,15,151
30,red,923.22,426.69,901,346,43,155,3529
30,red,888.86,378.37,887,371,5,15,49
30,red,695.50,457.65,681,379,38,137,1754
30,red,882.82,663.75,848,587,63,155,6321
30,red,802.88,687.35,779,618,47,148,5553
30,red,1455.00,701.00,1440,700,31,3,93
30,red,813.48,792.75,805,789,16,9,63
30,red,906.35,823.65,903,820,9,7,46
30,blue,868.52,583.14,863,576,12,13,81
30,blue,553.16,684.99,541,672,24,25,491
30,blue,1392.14,688.75,1381,677,22,23,426
30,blue,228.53,887.87,224,878,9,18,124
30,blue,1668.61,898.29,1667,893,4,11,41
31,red,798.98,216.69,754,186,74,69,2678
31,red,842.16,301.38,832,295,25,13,178
31,red,847.17,321.16,839,314,17,15,150
31,red,923.27,426.72,899,348,45,153,3505
31,red,693.19,462.08,679,377,38,150,1863
31,red,882.55,666.39,848,589,62,158,6298
31,red,802.89,688.35,778,619,48,147,5508
31,red,1462.59,701.12,1455,700,16,4,51
31,red,810.71,795.88,803,789,18,15,134
31,red,901.23,826.49,897,823,10,7,47
31,blue,553.55,684.84,543,672,22,25,473
31,blue,1392.00,688.72,1381,677,22,23,431
31,blue,228.53,887.87,224,878,9,18,124
31,blue,1668.61,898.29,1667,893,4,11,41
32,red,802.76,218.07,758,187,73,69,2567
32,red,844.77,302.32,834,296,25,13,189
32,red,849.01,322.28,841,316,17,13,138
32,red,923.69,426.64,898,349,47,153,3514
32,red,692.39,460.98,678,381,38,149,1966
32,red,882.30,668.29,848,590,61,161,6218
32,red,802.99,689.12,778,620,48,148,5486
32,red,1460.33,701.69,1440,700,42,7,131
32,red,810.53,796.19,803,789,19,15,137
32,blue,553.59,684.93,543,672,22,25,472
32,blue,1392.43,688.85,1381,677,23,23,436
32,blue,228.53,887.87,224,878,9,18,124
32,blue,1668.65,898.35,1667,893,4,11,40
33,red,804.13,218.11,761,188,74,68,2633
33,red,846.69,303.43,836,297,25,14,190
33,red,850.59,323.70,842,317,18,14,148
33,red,923.67,427.48,897,351,48,153,3517
33,red,691.39,464.47,677,377,38,155,2123
33,red,881.48,671.36,847,594,61,160,6052
33,red,802.62,689.39,778,621,48,146,5486
33,red,1455.24,701.12,1440,700,32,4,94
33,red,810.96,796.01,803,789,19,15,147
33,blue,553.57,684.94,543,672,22,25,469
33,blue,1392.11,688.88,1381,677,23,23,434
33,blue,228.29,887.62,224,878,9,18,116
33,blue,1668.57,898.21,1667,893,4,11,42
34,red,806.81,217.73,763,187,76,70,2719
34,red,850.95,303.75,839,298,25,12,154
34,red,853.00,325.09,844,318,18,15,163
34,red,924.14,428.17,896,353,49,153,3539
34,red,691.05,467.78,676,380,35,155,2197
34,red,879.96,673.10,848,598,58,158,5897
34,red,802.76,690.14,778,622,48,145,5465
34,red,1469.14,702.43,1463,701,12,5,44
34,red,811.07,795.69,804,789,18,15,131
34,blue,553.38,685.24,541,673,24,24,476
34,blue,1392.33,689.22,1381,677,23,24,446
34,blue,228.29,887.62,224,878,9,18,116
34,blue,1668.65,898.35,1667,893,4,11,40
35,red,810.77,217.45,767,187,78,70,2910
35,red,852.12,305.75,842,299,25,14,190
35,red,855.99,326.08,847,319,18,15,158
35,red,924.95,430.42,897,356,49,152,3540
35,red,691.63,467.88,677,384,35,152,2339
35,red,877.95,675.08,847,602,57,157,5980
35,red,802.24,690.03,777,623,49,144,5471
35,red,1457.89,701.28,1440,700,35,5,112
35,red,812.01,795.56,803,788,20,16,161
35,blue,553.62,684.98,543,672,22,25,471
35,blue,1392.20,688.97,1381,677,23,24,439
35,blue,228.53,887.87,224,878,9,18,124
36,red,816.71,217.79,774,185,78,72,2918
36,red,856.01,307.36,846,301,24,13,180
36,red,859.25,327.65,851,320,17,16,178
36,red,925.98,432.86,899,359,47,151,3540
36,red,692.68,468.21,678,379,35,157,2386
36,red,876.65,680.07,849,605,53,157,6038
36,red,801.82,690.11,776,624,49,143,5479
36,red,1467.42,701.71,1459,700,16,6,59
36,red,812.37,795.67,802,788,21,16,187
36,blue,553.69,685.00,543,672,23,25,474
36,blue,1392.48,688.93,1381,677,23,24,440
36,blue,228.50,887.89,224,878,9,18,123
37,red,822.97,218.49,781,184,78,74,3076
37,red,859.42,309.61,847,302,28,16,219
37,red,865.06,328.50,854,316,25,22,212
37,red,927.17,435.52,901,363,46,152,3606
37,red,694.82,467.05,679,379,36,156,2451
37,red,875.61,685.06,849,609,52,158,6154
37,red,801.33,690.36,776,625,49,142,5512
37,red,811.29,795.00,803,788,19,16,143
37,blue,553.46,685.15,541,672,24,25,479
37,blue,1392.41,689.01,1381,677,23,24,444
37,blue,228.53,887.87,224,878,9,18,124
38,red,830.59,217.89,788,183,80,76,3174
38,red,866.42,309.96,855,304,24,12,135
38,red,868.07,331.13,858,324,22,15,195
38,red,928.07,436.91,900,367,48,152,3795
38,red,697.43,465.91,681,383,38,151,2544
38,red,874.54,690.83,848,614,53,158,6250
38,red,800.91,690.74,776,625,49,142,5495
38,red,811.08,793.47,804,788,16,15,105
38,blue,553.42,685.12,541,672,24,25,479
38,blue,1392.37,688.99,1381,677,23,24,443
38,blue,228.48,887.76,224,878,9,18,122
39,red,838.75,217.74,798,181,79,80,3233
39,red,868.88,313.05,857,305,28,16,213
39,red,903.73,335.34,898,317,11,35,122
39,red,874.51,331.89,863,321,25,20,235
39,red,930.50,441.10,906,372,43,153,3756
39,red,700.08,463.57,683,383,39,147,2510
39,red,873.93,695.12,848,619,51,158,6195
39,red,800.66,691.44,776,626,49,141,5503
39,red,811.63,790.89,805,787,14,9,65
39,blue,553.20,685.28,541,673,24,24,484
39,blue,1392.32,689.09,1381,677,23,24,443
39,blue,228.48,887.76,224,878,9,18,122
40,red,847.56,217.88,807,178,81,86,3369
40,red,876.76,321.85,861,305,33,36,475
40,red,907.84,340.35,902,319,13,37,160
40,red,933.28,445.97,910,376,41,157,3855
40,red,872.75,383.68,869,381,8,7,40
40,red,703.01,461.28,686,383,38,144,2405
40,red,875.33,700.35,849,625,53,156,6064
40,red,800.24,691.68,775,627,49,139,5323
40,blue,553.38,685.21,541,673,24,24,476
40,blue,1392.52,688.96,1381,677,23,24,439
40,blue,228.32,887.62,224,878,9,18,117
41,red,856.58,215.42,817,174,81,88,3346
41,red,883.90,322.95,872,304,27,36,374
41,red,911.75,345.23,906,330,13,27,150
41,red,935.21,446.56,901,363,52,173,4107
